disease,Localized Pain,Mobility and Muscular Issues,Gastrointestinal Discomfort,Localized Swelling,Cardiac Symptoms,Cognitive or Neurological Issues,Temperature Regulation Issues,Localized Tenderness,Skin Irritation or Abnormalities,Infections,Bleeding or Blood-Related Symptoms,Fatigue or Low Energy,Appetite and Weight Changes,Miscellaneous,Respiratory Issues,Sensory Issues,Vision and Hearing Issues,Mood and Behavioral Change,Bowel and Bladder Issues,Hair and Nail Abnormalities,Developmental Issues,urge to move
Malaria,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Norovirus,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Laryngitis,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Sjogren’s syndrome,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Cystic fibrosis,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Tooth decay,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Deafblindness,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Transverse myelitis,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Heart block,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Inflammatory bowel disease (IBD),1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Functional neurological disorder (FND),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raynaud’s phenomenon,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Chronic pancreatitis,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Acute lymphoblastic leukaemia,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Mumps,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Hodgkin lymphoma,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Ataxia,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lipoedema,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulimia,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Parkinson’s disease,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panic disorder,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Coronavirus (COVID-19),0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Golfer's elbow,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soft tissue sarcomas,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kaposi’s sarcoma,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Dental abscess,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Streptococcus A (strep A),0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
High blood pressure (hypertension),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fibroids,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Laryngeal (larynx) cancer,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pelvic organ prolapse,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Common cold,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chronic lymphocytic leukaemia,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Heart failure,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Skin cancer (melanoma),0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
